sortOrder,spanish,englishPrimary,englishVariantsJson,pos,frequencyCount
12307,platino,Platine,"[""Platine"", ""platinum""]",n,1465
12308,unificar,to unify,"[""to unify""]",v,1465
12309,andrei,,[],none,1464
12310,propulsor,propulsive,"[""propulsive"", ""propulsion"", ""propellant"", ""propeller"", ""thruster"", ""promoter"", ""champion""]",n,1464
12311,prótesis,prosthesis,"[""prosthesis"", ""prothesis""]",n,1464
12312,remolino,swirl,"[""vortex, whirlpool, whirlwind"", ""swirl"", ""cowlick"", ""windmill""]",n,1464
12313,represivo,repressive,"[""repressive""]",adj,1464
12314,rosemary,,[],none,1464
12315,existencial,existential,"[""existential""]",adj,1463
12316,fortalecimiento,fortifying,"[""fortifying"", ""strengthening""]",n,1463
12317,sheridan,,[],none,1463
12318,jalea,"jelly, gelatine","[""jelly, gelatine"", ""jelly, jello""]",n,1462
12320,Pereira,"the capital city of Antioquia department, Colombia","[""the capital city of Antioquia department, Colombia""]",prop,1461
12321,brigadier,brigadier,"[""brigadier""]",n,1461
12322,emparedado,sandwich,"[""sandwich""]",n,1461
12323,indebido,illicit,"[""undue, unowed"", ""illicit""]",adj,1461
12324,jactar,to move or shake,"[""to move or shake"", ""to boast""]",v,1461
12325,mujeriego,woman,"[""woman"", ""womanizing"", ""a womanizer, a ladies' man, a lady's man"", ""a group of women""]",n,1461
12326,varado,stranded,"[""stranded"", ""beached""]",adj,1461
12327,Yucatán,A peninsula in Mexico,"[""A state, Mexico"", ""A peninsula in Mexico""]",prop,1460
12328,antropólogo,anthropologist,"[""anthropologist""]",n,1460
12329,capone,,[],none,1460
12330,ofrecido,easy,"[""easy""]",adj,1460
12331,pubertad,puberty,"[""puberty""]",n,1460
12332,reanimar,to reanimate,"[""to reanimate"", ""to revive""]",v,1460
12333,renovador,"renewing, describing renewal","[""renewing, describing renewal""]",adj,1460
12334,town,,[],none,1460
12335,zane,,[],none,1460
12336,Liceo,Lykaion,"[""Lykaion""]",prop,1459
12337,facturación,billing,"[""billing"", ""check-in""]",n,1459
12338,patinaje,skating,"[""skating""]",n,1459
12339,alarde,"boast, boasting, brag","[""boast, boasting, brag"", ""military parade, inspection, display"", ""review, inspection"", ""large display, ostentation""]",n,1458
12340,ball,,[],none,1458
12341,matinal,"morning, matinal","[""morning, matinal""]",adj,1458
12342,unilateral,unilateral,"[""unilateral""]",adj,1458
12343,consecución,"obtaining, procurement","[""obtaining, procurement""]",n,1457
12344,Otero,surname,"[""surname""]",prop,1456
12345,asistencial,social security,"[""social security""]",adj,1456
12346,carcelero,"jail, prison","[""jail, prison"", ""jailer, warden, prison guard""]",n,1456
12348,ecografía,sonogram,"[""sonogram"", ""echography, ultrasound""]",n,1456
12349,fango,mud,"[""mud""]",n,1456
12350,infanta,princess,"[""princess""]",n,1456
12351,paradójico,paradoxical,"[""paradoxical""]",adj,1456
12352,talante,outlook,"[""way of being, way, character"", ""outlook""]",n,1456
12353,tónica,tonic,"[""tonic""]",n,1456
12354,atragantar,to choke,"[""to choke""]",v,1455
12355,castillo,castle,"[""castle""]",n,1455
12356,expiatorio,sacrificial,"[""sacrificial"", ""expiatory, piacular""]",adj,1455
12357,infundir,to instill,"[""to instill""]",v,1455
12358,palace,,[],none,1455
12359,presunción,presumption,"[""presumption"", ""conceit, presumptuousness, vanity"", ""suspicion""]",n,1455
12360,resbaladizo,slippery,"[""slippery""]",adj,1455
12361,spence,,[],none,1455
12362,Ártico,the Arctic,"[""the Arctic""]",prop,1455
12363,apio,celery,"[""celery"", ""queer, poof""]",n,1454
12364,avaricia,"avarice, greed","[""avarice, greed""]",n,1454
12365,axila,armpit,"[""armpit"", ""axil""]",n,1454
12366,ozono,ozone,"[""ozone""]",n,1454
12367,remotamente,remotely,"[""remotely"", ""distantly""]",adv,1454
12368,slater,,[],none,1454
12369,colector,collector,"[""collector""]",n,1453
12370,despojado,bare,"[""bare""]",adj,1453
12371,halo,halo,"[""halo""]",n,1453
12372,minúscula,"minuscule, lower-case letter, small letter","[""minuscule, lower-case letter, small letter""]",n,1453
12373,mustang,,[],none,1453
12374,tetera,teapot,"[""teapot"", ""teakettle"", ""a public restroom used as a place for casual sex between men""]",n,1453
12375,confección,tailoring,"[""confection, creation, elaboration"", ""tailoring""]",n,1452
12376,desactivado,"deactivated, disabled","[""deactivated, disabled""]",adj,1452
12377,espabilar,to snuff a candle,"[""to snuff a candle"", ""to brighten up, to enliven, to make smart or smarter"", ""to wake up"", ""to pay attention, watch out"", ""to hurry up""]",v,1452
12378,agudizar,to sharpen,"[""to sharpen"", ""to worsen""]",v,1451
12379,candelabro,"candelabrum, branched candlestick","[""candelabrum, branched candlestick""]",n,1451
12380,comadreja,weasel,"[""weasel"", ""marten"", ""opossum, possum""]",n,1451
12381,convenientemente,conveniently,"[""conveniently""]",adv,1450
12382,crowley,,[],none,1450
12383,curandero,quack,"[""shaman, witch doctor"", ""quack"", ""healer""]",n,1450
12384,exaltar,to exalt,"[""to exalt""]",v,1450
12385,individualidad,"individuality, selfhood","[""individuality, selfhood""]",n,1450
12386,malcriado,spoiled,"[""spoiled"", ""misbehaving, badly behaved"", ""one who is spoiled"", ""one who is misbehaving, badly behaved""]",adj,1450
12387,kendall,,[],none,1449
12388,rolling,,[],none,1449
12389,kristen,,[],none,1448
12390,recámara,chamber of a gun,"[""chamber of a gun"", ""bedroom""]",n,1448
12391,ridiculizar,"to ridicule, laugh at, mock","[""to ridicule, laugh at, mock""]",v,1448
12392,cece,,[],none,1447
12393,condimento,condiment,"[""condiment""]",n,1447
12394,duna,dune,"[""dune""]",n,1447
12395,malísimo,"superlative of ""malo"": very bad, dreadful","[""superlative of \""malo\"": very bad, dreadful""]",adj,1447
12396,baraja,deck,"[""deck"", ""quarrel""]",n,1446
12397,curativo,"curative, healing","[""curative, healing""]",adj,1446
12398,girls,,[],none,1446
12399,manosear,"to fondle, paw, feel up","[""to fondle, paw, feel up"", ""to fuss with, to meddle with""]",v,1446
12400,memo,idiot,"[""idiot"", ""silly, stupid"", ""memorandum""]",n,1446
12401,reencarnación,reincarnation,"[""reincarnation""]",n,1446
12402,atajar,to catch,"[""to catch"", ""to stop"", ""to block"", ""to intercept"", ""to take a short cut"", ""to tackle""]",v,1445
12403,edil,formal title for a mayor,"[""formal title for a mayor"", ""aedile""]",n,1445
12404,lennox,,[],none,1445
12405,repudiar,"to repudiate, disown, condemn","[""to repudiate, disown, condemn""]",v,1445
12406,ziva,,[],none,1445
12407,RAE,"acronym of ""w:Real Academia Española","[""acronym of \""w:Real Academia Española"", ""acronym of \""w:Radiodifusión Argentina al Exterior"", ""acronym of \""región administrativa especial\""""]",n,1444
12408,bonaerense,native or inhabitant of the province of Buenos Aires,"[""of, from or relating to the province of Buenos Aires"", ""native or inhabitant of the province of Buenos Aires""]",n,1444
12409,denotar,to show,"[""to show"", ""to denote""]",v,1444
12410,destornillador,screwdriver,"[""screwdriver""]",n,1444
12411,marsh,,[],none,1444
12412,oportunista,opportunistic,"[""opportunistic"", ""opportunist""]",adj,1444
12414,intelecto,intellect,"[""intellect""]",n,1443
12415,maleza,underbrush,"[""underbrush"", ""weed""]",n,1443
12416,marshal,,[],none,1443
12417,race,,[],none,1443
12418,ayuno,fasting,"[""fasting"", ""fast""]",n,1442
12419,chow,,[],none,1442
12420,hermético,hermetic,"[""hermetic""]",adj,1442
12421,meseta,plateau,"[""plateau""]",n,1442
12422,rand,,[],none,1442
12423,roncar,to snore,"[""to snore""]",v,1442
12424,seudónimo,pseudonym,"[""pseudonym""]",n,1442
12425,sumisión,submission,"[""submission""]",n,1442
12426,conteo,bill,"[""bill"", ""calculus, computation"", ""counting"", ""count""]",n,1441
12427,contingencia,contingency,"[""contingency""]",n,1441
12428,intrigante,intriguing,"[""intriguing"", ""scheming"", ""schemer"", ""intriguer""]",adj,1441
12429,novillo,castrated bull,"[""young ox, young bull"", ""castrated bull"", ""cuckold""]",n,1441
12430,Rebeca,Rebekah,"[""Rebekah"", ""given name""]",prop,1440
12431,calamidad,calamity,"[""calamity""]",n,1440
12432,desbaratar,to spoil,"[""to ruin, destroy"", ""to spoil"", ""to rout""]",v,1440
12433,fontanero,plumber,"[""plumber""]",n,1440
12434,jurista,"jurist, lawyer","[""jurist, lawyer""]",n,1440
12435,partidista,partisan,"[""partisan""]",adj,1440
12436,batasuno,a member or supporter of Batasuna,"[""a member or supporter of Batasuna"", ""a member or supporter of EH Bildu, more generally, a left-wing Basque nationalist""]",n,1439
12437,gamba,shrimp,"[""shrimp"", ""butterface, prawn"", ""100 pesos"", ""leg"", ""human foot""]",n,1439
12438,mucama,maid,"[""maid"", ""chambermaid""]",n,1439
12439,abbott,,[],none,1438
12440,apego,"attachment, inclination","[""attachment, inclination""]",n,1438
12441,mondar,to peel,"[""to peel"", ""to crack up""]",v,1438
12442,saddam,,[],none,1438
12443,secado,"drying, desiccation","[""drying, desiccation""]",n,1438
12444,shhh,,[],none,1438
12445,acrecentar,"to increase, grow","[""to increase, grow""]",v,1437
12446,cosmético,cosmetic,"[""cosmetic""]",adj,1437
12447,indigno,unworthy,"[""unworthy""]",adj,1437
12448,maddy,,[],none,1437
12449,autóctono,"native, autochthon","[""native, autochthon"", ""indigenous, autochthonous""]",adj,1436
12450,cancelado,canceled,"[""canceled""]",adj,1436
12451,condensar,to condense,"[""to condense""]",v,1436
12452,pobrecillo,"diminutive of ""pobre","[""diminutive of \""pobre"", ""diminutive of \""pobre\""""]",n,1436
12453,repaso,"review, revision","[""review, revision""]",n,1436
12454,apasionar,to impassion,"[""to impassion"", ""to get excited"", ""become a fan""]",v,1435
12455,cajita,"diminutive of ""caja","[""diminutive of \""caja""]",n,1435
12456,libanés,Lebanese,"[""Lebanese""]",adj,1435
12457,menester,duty,"[""something necessary, requirement, must"", ""duty""]",n,1435
12458,papelera,paper mill,"[""paper mill"", ""wastepaper basket, wastebasket, wastebin, wastepaper bin"", ""trash, recycle bin""]",n,1435
12459,shore,,[],none,1435
12460,tesorero,treasurer,"[""treasurer""]",n,1435
12461,vitrina,shop window,"[""showcase, vitrine, display cabinet"", ""shop window""]",n,1435
12462,abonado,subscriber,"[""the act of spreading fertilizer"", ""subscriber""]",n,1434
12463,emplazamiento,summons,"[""place, location"", ""summons""]",n,1434
12464,meñique,tiny,"[""tiny"", ""little finger"", ""little toe, pinky toe""]",n,1434
12465,peregrinación,pilgrimage,"[""pilgrimage"", ""voyage""]",n,1434
12466,rumorear,to rumble,"[""to rumble"", ""to rumor""]",v,1434
12467,Tajo,Tagus,"[""Tagus""]",prop,1433
12468,apollo,,[],none,1433
12469,disfunción,dysfunction,"[""dysfunction""]",n,1433
12471,len,"The Chilean incense cedar, Austrocedrus chilensis","[""The Chilean incense cedar, Austrocedrus chilensis""]",n,1433
12472,musculoso,"muscular, brawny","[""muscular, brawny""]",adj,1433
12473,ocioso,idle,"[""idle"", ""useless"", ""idler""]",adj,1433
12474,rapar,to shave hair,"[""to shave hair"", ""to shave a beard"", ""to crop"", ""to rob, steal"", ""to have sex""]",v,1433
12475,reg,,[],none,1433
12476,discutible,"debatable, arguable, moot","[""debatable, arguable, moot""]",adj,1432
12477,epa,hey!,"[""hey!"", ""whoops!""]",interj,1432
12478,laptop,laptop,"[""laptop""]",n,1432
12479,metodológico,methodological,"[""methodological""]",adj,1432
12480,pasadizo,shortcut,"[""passage, corridor"", ""shortcut""]",n,1432
12481,protón,proton,"[""proton""]",n,1432
12482,weston,,[],none,1432
12483,yugoslavo,Yugoslavian,"[""Yugoslavian"", ""Yugoslav""]",adj,1432
12484,dócil,docile,"[""docile""]",adj,1431
12485,pacifista,pacifist,"[""pacifist""]",adj,1431
12486,panamericano,Pan-American,"[""Pan-American""]",adj,1431
12487,ramsey,,[],none,1431
12488,Cantabria,Cantabria,"[""Cantabria""]",prop,1430
12489,arrinconar,"to corner, to pin down","[""to corner, to pin down"", ""to shelve, abandon a project""]",v,1430
12490,falsificado,bogus,"[""bogus""]",adj,1430
12491,manicura,manicure,"[""manicure"", ""female equivalent of \""manicuro""]",n,1430
12492,montañoso,mountainous,"[""mountainous""]",adj,1430
12493,rumano,Romanian,"[""Romanian"", ""a Romanian person""]",n,1430
12494,plática,discussion,"[""discussion""]",n,1429
12495,póster,poster,"[""poster""]",n,1429
12496,suplir,to substitute,"[""to substitute"", ""to supply"", ""to eke out""]",v,1429
12497,Fez,Fez,"[""Fez""]",prop,1428
12498,Irina,given name,"[""given name""]",prop,1428
12499,Stern,surname,"[""surname""]",prop,1428
12500,concurrencia,concurrence,"[""concurrence""]",n,1428
12501,coágulo,clot,"[""clot"", ""blood clot""]",n,1428
12502,galera,galley,"[""galley"", ""covered wagon"", ""mantis shrimp"", ""galley, galley proof"", ""galley tray"", ""top hat""]",n,1428
12503,belloch,,[],none,1427
12504,montura,mount,"[""mount"", ""harness"", ""mounting"", ""assembling"", ""frame""]",n,1427
12505,raven,,[],none,1427
12506,winchester,Winchester,"[""Winchester""]",n,1427
12507,Saúl,given name,"[""Saul, the king of Israel"", ""given name""]",prop,1426
12508,bertie,,[],none,1426
12509,cervical,cervical,"[""cervical""]",adj,1426
12510,desfigurar,to distort,"[""to disfigure, to deface"", ""to distort""]",v,1426
12511,vacunar,to vaccinate,"[""to vaccinate""]",v,1426
12512,camping,campsite,"[""campsite"", ""camping in a private campsite""]",n,1425
12513,divulgación,divulgation,"[""divulgation"", ""disclosure""]",n,1425
12514,esnob,snob,"[""snob""]",n,1425
12515,manojo,"handful, bunch","[""handful, bunch""]",n,1425
12516,Plácido,given name,"[""given name""]",prop,1424
12517,bazo,spleen,"[""spleen""]",n,1424
12518,calva,bald patch,"[""bald patch"", ""an area on a hide or fabric from which the hair or pill has worn out"", ""clearing"", ""a traditional shepherds’ sport played in parts of Spain, the object of which is to knock down a partially supported horn or piece of wood by throwing stones at it. In a modern version the stones have been substituted with metal cylinders and horns are no longer used as targets"", ""the wooden target used in the game of calva""]",n,1424
12519,cancelación,cancellation,"[""cancellation""]",n,1424
12520,procuraduría,procuratorship,"[""general attorney, attorney's office"", ""procuratorship""]",n,1424
12521,regeneración,regeneration,"[""regeneration""]",n,1424
12522,tararear,to hum,"[""to hum""]",v,1424
12523,Maldonado,surname,"[""surname"", ""Maldonado""]",prop,1423
12524,SAO,"initialism of ""San Antonio Oeste","[""initialism of \""San Antonio Oeste""]",prop,1423
12525,reseña,review,"[""sketch, outline"", ""review""]",n,1423
12526,balbucear,to lisp,"[""to stutter, to stammer"", ""to prattle, to babble"", ""to lisp""]",v,1422
12527,dejado,"sloppy, lax","[""sloppy, lax""]",adj,1422
12528,desilusionado,disillusioned,"[""disillusioned"", ""disappointed""]",adj,1422
12529,felicia,,[],none,1422
12530,Melilla,Melilla,"[""Melilla""]",prop,1421
12531,acuñar,to mint,"[""to mint"", ""to coin""]",v,1421
12532,condominio,co-ownership,"[""apartment building, condominium, condo"", ""co-ownership""]",n,1421
12533,piratear,to pirate,"[""to pirate, hijack"", ""to pirate""]",v,1421
12535,rayar,to verge,"[""to scratch, gouge"", ""to line, mark"", ""to verge"", ""to drive crazy, to go crazy, to freak out""]",v,1421
12536,arjun,,[],none,1420
12537,candela,candle,"[""candle"", ""candela"", ""combustible"", ""fire, light"", ""soapwood""]",n,1420
12538,individualmente,individually,"[""individually""]",adv,1420
12539,neutrón,neutron,"[""neutron""]",n,1420
12540,regenerar,to regenerate,"[""to regenerate""]",v,1420
12541,veintiuno,twenty-one,"[""twenty-one""]",num,1420
12542,Javi,given name,"[""given name""]",prop,1419
12543,carbohidrato,carbohydrate,"[""carbohydrate""]",n,1419
12544,clavel,carnation,"[""carnation""]",n,1419
12545,cotizar,to quote or set a price,"[""to quote or set a price"", ""to esteem, regard highly"", ""to pay or set a quota"", ""to contribute, to pay one's dues""]",v,1419
12546,dinamismo,dynamism,"[""dynamism""]",n,1419
12547,dubois,,[],none,1419
12548,inservible,"useless, good for nothing, unserviceable","[""useless, good for nothing, unserviceable""]",adj,1419
12549,magistral,"magistral, magisterial, masterly","[""magistral, magisterial, masterly""]",adj,1419
12550,marcia,,[],none,1419
12551,profesar,to profess,"[""to profess""]",v,1419
12552,desarme,disarmament,"[""disarmament""]",n,1418
12553,desinteresado,disinterested,"[""disinterested"", ""unselfish, selfless""]",adj,1418
12554,minúsculo,lower case,"[""minute"", ""lower case""]",adj,1418
12555,pliego,sheet,"[""sheet"", ""document, folder""]",n,1418
12556,provocador,provocative,"[""provocative"", ""provoking"", ""contentious"", ""troublemaker, agitator, gadfly""]",adj,1418
12557,solterón,"confirmed bachelor, old bachelor","[""confirmed bachelor, old bachelor""]",n,1418
12558,Jordania,Jordan,"[""Jordan""]",prop,1417
12559,ONG,NGO,"[""NGO""]",n,1417
12560,asesoría,consultancy,"[""consultancy"", ""consultant's office""]",n,1417
12561,cartman,,[],none,1417
12562,decker,,[],none,1417
12563,falto,stupid,"[""lacking, deficient"", ""stupid""]",adj,1417
12564,infligir,to inflict,"[""to inflict""]",v,1417
12565,kiki,,[],none,1417
12566,antebrazo,forearm,"[""forearm""]",n,1416
12567,dominique,,[],none,1416
12568,ee.uu,,[],none,1416
12569,kyung,,[],none,1416
12570,refutar,to refute,"[""to refute""]",v,1416
12571,sonámbulo,"somnambulist, sleepwalker","[""somnambulist, sleepwalker""]",n,1416
12572,vecindad,vicinity,"[""vicinity"", ""neighborhood""]",n,1416
12573,Camelot,Camelot,"[""Camelot""]",prop,1415
12574,artritis,arthritis,"[""arthritis""]",n,1415
12575,asalariado,"salaried, with a salary","[""salaried, with a salary""]",adj,1415
12576,expectación,expectation,"[""expectation""]",n,1415
12577,hachís,hashish,"[""hashish""]",n,1415
12578,malhumorado,sullen,"[""crabby, peevish, cranky, splenetic"", ""sullen""]",adj,1415
12579,ny,nu,"[""nu""]",n,1415
12580,severamente,severely,"[""severely"", ""strictly""]",adv,1415
12581,doc.,,[],none,1414
12582,hanson,,[],none,1414
12583,his,,[],none,1414
12584,lastre,ballast,"[""ballast"", ""burden"", ""prudence""]",n,1414
12585,sutileza,"subtlety, nicety","[""subtlety, nicety""]",n,1414
12586,OMS,"initialism of ""Organización Mundial de la Salud","[""initialism of \""Organización Mundial de la Salud""]",prop,1413
12587,científicamente,scientifically,"[""scientifically""]",adv,1413
12588,football,,[],none,1413
12589,gueto,ghetto,"[""ghetto""]",n,1413
12590,mediático,media,"[""media""]",adj,1413
12591,Calcuta,"Kolkata, Calcutta","[""Kolkata, Calcutta""]",prop,1412
12592,haras,,[],none,1412
12593,intimar,"to insist, order, command","[""to insist, order, command"", ""to get close, to grow close""]",v,1412
12594,savage,,[],none,1412
12595,burlón,mocking,"[""mocking"", ""mocker, joker""]",adj,1411
12596,hoover,,[],none,1411
12597,levi,,[],none,1411
12599,vengativo,vengeful,"[""vengeful""]",adj,1411
12600,desechable,disposable,"[""disposable"", ""disposable, throwaway, single-use""]",adj,1410
12601,diversificar,to diversify,"[""to diversify""]",v,1410
12602,gianni,,[],none,1410
12603,remolacha,beet,"[""beet"", ""sugar beet"", ""red beet"", ""mangelwurzel""]",n,1410
12604,berenjena,"aubergine, eggplant, brinjal","[""aubergine, eggplant, brinjal""]",n,1409
12605,chamán,shaman,"[""shaman""]",n,1409
12606,correccional,reform school,"[""correctional, reformatory"", ""reform school""]",n,1409
12607,escudero,shield-bearer,"[""esquire, squire"", ""shield-bearer"", ""shield-maker"", ""nobleman""]",n,1409
12608,importantísimo,"superlative of ""importante","[""superlative of \""importante""]",adj,1409
12609,persistencia,persistence,"[""persistence""]",n,1409
12610,Montesinos,surname,"[""surname""]",prop,1408
12611,abstención,abstention,"[""abstention""]",n,1408
12612,desbloquear,to unlock,"[""to clear, unclog, unlock"", ""to unlock""]",v,1408
12613,heder,"to stink, to reek","[""to stink, to reek""]",v,1408
12614,lasaña,lasagna,"[""lasagna""]",n,1408
12615,peligrosamente,dangerously,"[""dangerously""]",adv,1408
12616,peters,,[],none,1408
12617,caribeño,Caribbean,"[""Caribbean""]",adj,1407
12618,opaco,opaque,"[""opaque""]",adj,1407
12619,Ebro,Ebro,"[""Ebro""]",prop,1406
12620,Ibarra,surname,"[""surname"", ""A city in Ecuador""]",prop,1406
12621,oficiar,to officiate,"[""to officiate"", ""to act, serve""]",v,1406
12622,pediatra,pediatrician,"[""pediatrician""]",n,1406
12623,privatizar,to privatize,"[""to privatize""]",v,1406
12624,xander,,[],none,1406
12625,desagradar,"to displease, be disagreeable","[""to displease, be disagreeable""]",v,1405
12626,margo,,[],none,1405
12627,termómetro,thermometer,"[""thermometer""]",n,1405
12628,arpía,harpy,"[""harpy"", ""bitch, vixen, shrew, harpy, termagant, harridan""]",n,1404
12629,asa,ear,"[""handle of a vessel or container"", ""ear""]",n,1404
12630,capo,gangster,"[""gangster"", ""a very able person at doing something"", ""boss, chief""]",n,1404
12631,cosme,,[],none,1404
12632,custodio,guardian,"[""guardian"", ""keeper"", ""custodian"", ""guard""]",n,1404
12633,garfio,hook,"[""hook"", ""gaff""]",n,1404
12634,helms,,[],none,1404
12635,menopausia,menopause,"[""menopause""]",n,1404
12636,robbins,,[],none,1404
12637,sudamericano,South American,"[""South American""]",adj,1404
12638,contraatacar,to counter-attack,"[""to counter-attack""]",v,1403
12639,nodriza,wet nurse,"[""wet nurse""]",n,1403
12640,resguardar,"to safeguard, to protect","[""to safeguard, to protect"", ""to hunker down, to take shelter""]",v,1403
12641,PJ,"initialism of ""w:Partido Justicialista","[""initialism of \""w:Partido Justicialista""]",prop,1402
12642,desabrochar,to unbutton,"[""to unbutton""]",v,1402
12643,fish,,[],none,1402
12644,roxy,,[],none,1402
12645,baseball,,[],none,1401
12646,destripador,ripper,"[""ripper""]",n,1401
12647,duhalde,,[],none,1401
12648,estrógeno,estrogen,"[""estrogen"", ""estrogenic""]",n,1401
12649,oráculo,oracle,"[""oracle""]",n,1401
12650,Bulgaria,Bulgaria,"[""Bulgaria""]",prop,1400
12651,arete,earring,"[""earring""]",n,1400
12652,brighton,,[],none,1400
12653,naipe,playing card,"[""playing card"", ""deck of cards""]",n,1400
12654,omisión,omission,"[""omission""]",n,1400
12655,revuelo,fluttering,"[""commotion"", ""fluttering"", ""jumble, mismatch""]",n,1400
12656,vetar,to veto,"[""to veto""]",v,1400
12657,Gijón,Gijón,"[""Gijón""]",prop,1399
12658,Sócrates,Socrates,"[""Socrates"", ""given name""]",prop,1399
12659,aristocracia,aristocracy,"[""aristocracy""]",n,1399
12660,avilar,to debase,"[""to debase""]",v,1399
12661,peligrar,to be in danger,"[""to be in danger""]",v,1399
12662,verguenza,,[],none,1399
12663,cripta,crypt,"[""crypt""]",n,1398
12664,etarra,"ETA, of ETA","[""ETA, of ETA"", ""Etarra, member of ETA""]",n,1398
12665,wan,,[],none,1398
12666,winnie,,[],none,1398
12667,UCI,"acronym of ""unidad de cuidados intensivos""","[""acronym of \""unidad de cuidados intensivos\""""]",n,1397
12668,amenazador,threatening,"[""threatening""]",adj,1397
12669,cloro,chlorine,"[""chlorine"", ""bleach""]",n,1397
12670,depilar,to remove hair from the body,"[""to remove hair from the body""]",v,1397
12671,disciplinado,disciplined,"[""disciplined""]",adj,1397
12672,embustero,"lying, mendacious","[""lying, mendacious"", ""liar, deceiver""]",n,1397
12673,iceberg,iceberg,"[""iceberg"", ""an iceberg""]",n,1397
12674,kitt,,[],none,1397
12675,apiadar,to cause pity,"[""to cause pity"", ""to take pity""]",v,1396
12676,cris,,[],none,1396
12677,genialidad,"ingeniousness, ingenuity","[""ingeniousness, ingenuity""]",n,1396
12678,impropio,"unseemly, improper","[""unseemly, improper""]",adj,1396
12679,incomodidad,discomfort,"[""discomfort"", ""inconvenience""]",n,1396
12680,jirafa,giraffe,"[""giraffe"", ""boom microphone""]",n,1396
12681,muevete,,[],none,1396
12682,ogro,ogre,"[""ogre"", ""fiend, brute"", ""crank""]",n,1395
12683,Noé,Noah,"[""Noah"", ""given name""]",prop,1394
12684,inadmisible,"inadmissible, impermissible","[""inadmissible, impermissible"", ""unacceptable, unconscionable, inadmissible""]",adj,1394
12685,trébol,clover,"[""clover"", ""trefoil, shamrock"", ""trefoil"", ""club""]",n,1394
12686,hermanastro,half brother,"[""stepbrother , stepsibling"", ""half brother""]",n,1393
12687,krishna,,[],none,1393
12688,lili,,[],none,1393
12689,perversión,perversion,"[""perversion""]",n,1393
12690,aviraneta,,[],none,1392
12691,bonn,,[],none,1392
12692,cabida,"space, room, capacity","[""space, room, capacity""]",n,1392
12693,intencional,intentional,"[""intentional""]",adj,1392
12694,mountain,,[],none,1392
12695,trópico,tropic,"[""tropic"", ""tropics"", ""trope""]",n,1392
12696,calentador,heater,"[""heater"", ""boiler"", ""warming, heating""]",n,1391
12697,impositivo,"impressive, dominating","[""impressive, dominating"", ""taxation, tax""]",adj,1391
12698,picard,,[],none,1391
12699,resignación,resignation,"[""resignation""]",n,1391
12700,expensas,expenses,"[""expenses""]",n,1390
12701,parlante,loudspeaker,"[""loudspeaker"", ""speaker"", ""speaking"", ""talkative""]",n,1390
12702,sufrido,painstaking,"[""painstaking""]",adj,1390
12703,webb,,[],none,1390
12704,Oporto,"Porto, Oporto","[""Porto, Oporto""]",prop,1389
12705,Valentina,given name,"[""given name""]",prop,1389
12706,altercado,altercation,"[""altercation""]",n,1389
12707,bosch,,[],none,1389
12708,pearson,,[],none,1389
12709,slim,,[],none,1389
12710,zeke,,[],none,1389
12711,bentley,,[],none,1387
12712,cifrado,coded,"[""coded""]",adj,1387
12713,descarte,excuse,"[""excuse"", ""discard"", ""rejection""]",n,1387
12715,cacto,cactus,"[""cactus""]",n,1386
12716,hicks,,[],none,1386
12717,inconcebible,"inconceivable, unthinkable","[""inconceivable, unthinkable""]",adj,1386
12718,reilly,,[],none,1386
12719,carver,,[],none,1385
12720,hop,,[],none,1385
12721,adhesivo,adhesive,"[""adhesive""]",adj,1384
12722,emboscar,to ambush,"[""to ambush""]",v,1384
12723,helio,helium,"[""helium""]",n,1384
12724,prófugo,a fugitive,"[""a fugitive"", ""a draft dodger""]",n,1384
12725,salvador,"saviour, savior","[""saviour, savior""]",n,1384
12726,sweet,,[],none,1384
12727,gamberro,"loutish, yobbish","[""loutish, yobbish"", ""hooligan, yob, lout""]",n,1383
12728,leproso,leprous,"[""leprous""]",adj,1383
12729,pereza,laziness,"[""laziness"", ""a drag"", ""sloth""]",n,1383
12730,serge,,[],none,1383
12731,unificado,unified,"[""unified""]",adj,1383
12732,eliza,,[],none,1382
12733,polvoriento,dusty,"[""dusty""]",adj,1382
12734,secular,secular,"[""secular""]",adj,1382
12735,tuerto,one-eyed person,"[""one-eyed, blind in one eye"", ""one-eyed person"", ""tort, injury, offense"", ""someone who is thought to bring bad luck to a person they see""]",n,1382
12736,Aurelio,given name,"[""given name""]",prop,1381
12737,maldicion,,[],none,1381
12738,where,,[],none,1381
12739,lavinia,,[],none,1380
12740,make,,[],none,1380
12741,marlowe,,[],none,1380
12742,minnie,,[],none,1380
12743,policias,,[],none,1380
12744,berger,,[],none,1379
12745,embriagar,"to intoxicate, inebriate, get drunk","[""to intoxicate, inebriate, get drunk""]",v,1379
12746,savannah,,[],none,1379
12747,tendras,,[],none,1379
12748,EU,US,"[""US""]",prop,1378
12749,Ochoa,surname,"[""surname""]",prop,1378
12750,impune,"unpunished, scot-free","[""unpunished, scot-free""]",adj,1378
12751,pennsylvania,,[],none,1378
12752,personalizado,custom,"[""custom""]",adj,1378
12753,cisterna,cistern,"[""cistern""]",n,1377
12754,espontáneamente,spontaneously,"[""spontaneously""]",adv,1377
12755,pavimento,paving,"[""road surface , pavement"", ""paving""]",n,1377
12756,aC,BC,"[""BC""]",adv,1376
12757,descuartizar,dismember,"[""dismember"", ""cut up, carve up""]",v,1376
